,loss,mae,rmse,filter_0_rmse
32,0.3029212763905525,0.4027543067932129,0.5358294248580933,0.5182991623878479
33,0.2990760266780853,0.3991502523422241,0.5323134064674377,0.5057021975517273
34,0.2929629109303157,0.3933485746383667,0.52495276927948,0.48115062713623047
35,0.29511555045843124,0.39759382605552673,0.5284079313278198,0.48066598176956177
36,0.2871635575095812,0.3925110399723053,0.5208029747009277,0.4987044334411621
37,0.2832014079391956,0.38808953762054443,0.5162384510040283,0.48430415987968445
38,0.2742467228571574,0.3798561692237854,0.5079004168510437,0.4555288553237915
39,0.2670955217878024,0.37570205330848694,0.5014428496360779,0.49082350730895996
40,0.2583399633566538,0.37063854932785034,0.4931254982948303,0.4485252797603607
41,0.26388029326995216,0.3705120384693146,0.49707162380218506,0.46510568261146545
42,0.2586841330925624,0.3710438907146454,0.49308791756629944,0.4446580111980438
43,0.25686683610081673,0.36854180693626404,0.49068984389305115,0.43030115962028503
44,0.24233560085296632,0.35862430930137634,0.4776398241519928,0.446265310049057
45,0.24397474884986878,0.3595321774482727,0.4788871109485626,0.44579964876174927
46,0.25071413482228916,0.3607754409313202,0.4846455454826355,0.4398944079875946
47,0.24017988339066507,0.35405468940734863,0.4750439524650574,0.42665839195251465
48,0.22280341073870658,0.34091317653656006,0.45614996552467346,0.41988590359687805
49,0.23359795704483985,0.3463418185710907,0.46749135851860046,0.4396969974040985
50,0.23485466515024503,0.34835901856422424,0.4687098562717438,0.44767674803733826
51,0.23870838676889738,0.35165753960609436,0.47221121191978455,0.44837555289268494
52,0.2245997886856397,0.339599609375,0.45852410793304443,0.4170931875705719
53,0.21496391505002976,0.331618994474411,0.44627171754837036,0.4089968502521515
54,0.22101832752426465,0.3362659215927124,0.4543634057044983,0.4159385561943054
55,0.22235237965981167,0.3376147747039795,0.4553266763687134,0.41547104716300964
56,0.21048162644108137,0.32798323035240173,0.4434763491153717,0.43260350823402405
57,0.2195037829875946,0.3376559615135193,0.4520033895969391,0.39750346541404724
58,0.20772688160339992,0.3253219425678253,0.43840235471725464,0.3882282078266144
59,0.20738171473145484,0.32596874237060547,0.43902266025543213,0.4261031150817871
60,0.19846167728304864,0.31740614771842957,0.4300457835197449,0.40953725576400757
61,0.21431307529409727,0.3310440182685852,0.44580012559890747,0.404479056596756
62,0.2005560108522574,0.3193929195404053,0.43308883905410767,0.38327741622924805
63,0.20531115690867105,0.3206462562084198,0.43634337186813354,0.3993901312351227
64,0.2042551884551843,0.32174837589263916,0.4345305860042572,0.39138704538345337
